Theme,Context,Selector,Property,Value
editorial,preview-prod,__timing__,navStartIso,2026-02-11T21:51:10.552Z
editorial,preview-prod,__timing__,domContentLoadedIso,2026-02-11T21:51:12.468Z
editorial,preview-prod,__timing__,pdfReadyIso,
editorial,preview-prod,__timing__,deltaDomToPdfReadyMs,
editorial,preview-prod,__diagnostics__,hasPdfModeFlag,false
editorial,preview-prod,__diagnostics__,hasPdfReadyFlag,false
editorial,preview-prod,__diagnostics__,userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/144.0.0.0 Safari/537.36"
editorial,preview-prod,__diagnostics__,stable,true
editorial,preview-prod,__diagnostics__,probesUsed,4
editorial,preview-prod,__diagnostics__,url,https://www.teinvit.com/product/invitatie-digitala-personalizata/?v=760061f6bfde
editorial,i-html,.teinvit-preview,computed.fontFamily,"""Times New Roman"""
editorial,i-html,.teinvit-preview,computed.fontSize,17.25px
editorial,i-html,.teinvit-preview,computed.lineHeight,normal
editorial,i-html,.teinvit-preview,computed.letterSpacing,normal
editorial,i-html,.teinvit-preview,computed.textTransform,none
editorial,i-html,.teinvit-preview,computed.marginTop,0px
editorial,i-html,.teinvit-preview,computed.marginBottom,0px
editorial,i-html,.teinvit-preview,computed.paddingTop,0px
editorial,i-html,.teinvit-preview,computed.paddingBottom,0px
editorial,i-html,.teinvit-preview,geometry.x,420.5
editorial,i-html,.teinvit-preview,geometry.y,48
editorial,i-html,.teinvit-preview,geometry.width,559
editorial,i-html,.teinvit-preview,geometry.height,794
editorial,i-html,.teinvit-preview,geometry.clientWidth,559
editorial,i-html,.teinvit-preview,geometry.clientHeight,794
editorial,i-html,.teinvit-preview,geometry.scrollWidth,559
editorial,i-html,.teinvit-preview,geometry.scrollHeight,794
editorial,i-html,.teinvit-preview,inline.styleAttr,
editorial,i-html,.teinvit-preview,inline.styleFontSize,
editorial,i-html,.teinvit-preview,inline.styleMarginTop,
editorial,i-html,.teinvit-preview,inline.styleMarginBottom,
editorial,i-html,.teinvit-canvas,computed.fontFamily,"""Playfair Display"", serif"
editorial,i-html,.teinvit-canvas,computed.fontSize,15.87px
editorial,i-html,.teinvit-canvas,computed.lineHeight,21.4245px
editorial,i-html,.teinvit-canvas,computed.letterSpacing,normal
editorial,i-html,.teinvit-canvas,computed.textTransform,none
editorial,i-html,.teinvit-canvas,computed.marginTop,0px
editorial,i-html,.teinvit-canvas,computed.marginBottom,0px
editorial,i-html,.teinvit-canvas,computed.paddingTop,0px
editorial,i-html,.teinvit-canvas,computed.paddingBottom,0px
editorial,i-html,.teinvit-canvas,geometry.x,465.219
